[classes] ['book' 'chair' 'desk' 'hammer' 'lecturestand']
/usr/local/lib/python3.12/dist-packages/huggingface_hub/utils/_auth.py:94: UserWarning: 
The secret `HF_TOKEN` does not exist in your Colab secrets.
To authenticate with the Hugging Face Hub, create a token in your settings tab (https://huggingface.co/settings/tokens), set it as secret in your Google Colab and restart your session.
You will be able to reuse this secret in all of your notebooks.
Please note that authentication is recommended but still optional to access public models or datasets.
  warnings.warn(
model.safetensors: 100%
 114M/114M [00:00<00:00, 259MB/s]
[049] tr_loss=0.3729 tr_mae=0.336 | va_mae=1.278 va_rmse=2.014 | va_f1M=1.000 va_acc=1.000 | score=0.278 | time=22.9s
[050] tr_loss=0.3615 tr_mae=0.319 | va_mae=1.267 va_rmse=2.004 | va_f1M=1.000 va_acc=1.000 | score=0.267 | time=23.5s
[051] tr_loss=0.3613 tr_mae=0.317 | va_mae=1.257 va_rmse=1.998 | va_f1M=1.000 va_acc=1.000 | score=0.257 | time=24.0s
[052] tr_loss=0.3569 tr_mae=0.303 | va_mae=1.247 va_rmse=1.993 | va_f1M=1.000 va_acc=1.000 | score=0.247 | time=23.8s
[053] tr_loss=0.3581 tr_mae=0.304 | va_mae=1.239 va_rmse=1.987 | va_f1M=1.000 va_acc=1.000 | score=0.239 | time=23.1s
[054] tr_loss=0.3471 tr_mae=0.295 | va_mae=1.230 va_rmse=1.981 | va_f1M=1.000 va_acc=1.000 | score=0.230 | time=23.0s
[055] tr_loss=0.3491 tr_mae=0.296 | va_mae=1.223 va_rmse=1.976 | va_f1M=1.000 va_acc=1.000 | score=0.223 | time=23.9s
[056] tr_loss=0.3539 tr_mae=0.296 | va_mae=1.217 va_rmse=1.972 | va_f1M=1.000 va_acc=1.000 | score=0.217 | time=23.8s
[057] tr_loss=0.3471 tr_mae=0.286 | va_mae=1.211 va_rmse=1.968 | va_f1M=1.000 va_acc=1.000 | score=0.211 | time=23.2s
[058] tr_loss=0.3434 tr_mae=0.281 | va_mae=1.205 va_rmse=1.965 | va_f1M=1.000 va_acc=1.000 | score=0.205 | time=22.8s
[059] tr_loss=0.3444 tr_mae=0.284 | va_mae=1.200 va_rmse=1.963 | va_f1M=1.000 va_acc=1.000 | score=0.200 | time=24.5s
[060] tr_loss=0.3430 tr_mae=0.281 | va_mae=1.196 va_rmse=1.961 | va_f1M=1.000 va_acc=1.000 | score=0.196 | time=24.1s

[Test] mae=1.144 rmse=1.972 | f1M=0.997 acc=0.997
